year,imdb,title,clean_test,budget_2013$,binary_PASS,domgross_2013$,genres,prod_comps,overview,perc_women_producers,perc_women_directors
1990,tt0099653,ghost,men,39225459,0,388031265.0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",['Paramount'],sam wheat is a banker molly jensen is an artist and the two are madly in love however when sam is murdered by his friend and corrupt business partner carl bruner over a shady business deal he is left to roam the earth as a powerless spirit when he learns of carls betrayal sam must seek the help of psychic oda mae brown to set things right and protect molly from carl and his goons,0.5,0.0
1990,tt0099685,goodfellas,men,44574385,0,83343062.0,"['Drama', 'Crime']",['Winkler Films'],the true story of henry hill a halfirish halfsicilian brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a mafia family under the guidance of jimmy conway,0.0,0.0
1990,tt0099785,home alone,men,26744631,0,509505267.0,"['Comedy', 'Family']","['Hughes Entertainment', '20th Century Fox']",eightyearold kevin mccallister makes the most of the situation after his family unwittingly leaves him behind when they go on christmas vacation but when a pair of bungling burglars set their sights on kevins house the plucky kid stands ready to defend his territory by planting booby traps galore adorably mischievous kevin stands his ground as his frantic mother attempts to race home before christmas day,0.0,0.0
1990,tt0100263,nikita,ok,12480828,1,8946919.0,"['Action', 'Thriller']","['Gaumont', 'Cecchi Gori Group Tiger Cinematografica', 'Les Films du Loup']",a beautiful felon sentenced to life in prison for the murder of a policeman is given a second chance  as a secret political assassin controlled by the government,0.0,0.0
1990,tt0100403,predator 2,men,62404139,0,50489429.0,"['Science Fiction', 'Action', 'Thriller']","['Davis Entertainment', 'Lawrence Gordon Productions', 'Silver Pictures', '20th Century Fox']",a police chief in the wartorn streets of los angeles discovers that an extraterrestrial creature is hunting down residents  and that he is the next target,0.0,0.0
1990,tt0100405,pretty woman,ok,24961656,1,318093987.0,"['Comedy', 'Romance']","['Touchstone Pictures', 'Silver Screen Partners IV']",when a millionaire wheelerdealer enters a business contract with a hollywood hooker vivian ward he loses his heart in the bargain,0.0,0.0
1990,tt0099810,the hunt for red october,notalk,53489262,0,215222722.0,"['Action', 'Adventure', 'Thriller']","['Paramount', 'Mace Neufeld Productions', 'Nina Saxon Film Design']",a new technologicallysuperior soviet nuclear sub the red october is heading for the us coast under the command of captain marko ramius the american government thinks ramius is planning to attack a lone cia analyst has a different idea he thinks ramius is planning to defect but he has only a few hours to find him and prove it  because the entire russian naval and air commands are trying to find him too the hunt is on,0.0,0.0
1990,tt0100802,total recall,notalk,222871925,0,104977970.0,"['Action', 'Adventure', 'Science Fiction']","['Carolco Pictures', 'TriStar Pictures', 'Ronald Shusett/Gary Goldman']",construction worker douglas quaids obsession with the planet mars leads him to visit recall a company who manufacture memories something goes wrong during his memory implant turning dougs life upside down and even to question what is reality and what isnt,0.0,0.0
1990,tt0100814,tremors,ok,17829754,1,29717001.0,"['Horror', 'Comedy', 'Action']","['No Frills Film Production', 'Universal Pictures', 'Wilson-Maddock Production']",hick handymen val mckee and earl bassett can barely eke out a living in the nevada hamlet of perfection so they decide to leave town  despite an admonition from a shapely seismology coed whos picking up odd readings on her equipment before long val and earl discover whats responsible for those readings 30footlong carnivorous worms with a proclivity for sucking their prey underground,0.0,0.0
1989,tt0096874,back to the future part ii,ok,75183554,1,222637302.0,"['Adventure', 'Comedy', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the timetraveling duo head to 2015 to nip some mcfly family woes in the bud but things go awry thanks to bully biff tannen and a pesky sports almanac in a lastditch attempt to set things straight marty finds himself bound for 1955 and face to face with his teenage parents  again,0.0,0.0
1989,tt0096895,batman,notalk,65785609,0,472131898.0,"['Fantasy', 'Action', 'Crime']","['The Guber-Peters Company', 'Warner Bros. Pictures', 'PolyGram Filmed Entertainment']",batman must face his most ruthless nemesis when a deformed madman calling himself the joker seizes control of gothams criminal underworld,0.0,0.0
1989,tt0096928,bill  teds excellent adventure,men,18795888,0,76095227.0,"['Adventure', 'Comedy', 'Science Fiction']",['Orion Pictures'],bill and ted are high school buddies starting a band they are also about to fail their history class—which means ted would be sent to military school—but receive help from rufus a traveller from a future where their band is the foundation for a perfect society with the use of rufus time machine bill and ted travel to various points in history returning with important figures to help them complete their final history presentation,0.0,0.0
1989,tt0097165,dead poets society,notalk,30825257,0,180177604.0,['Drama'],"['Touchstone Pictures', 'Silver Screen Partners IV', 'A Steven Haft Production', 'Witt/Thomas Productions']",at an elite oldfashioned boarding school in new england a passionate english teacher inspires his students to rebel against convention and seize the potential of every day courting the disdain of the stern headmaster,0.0,0.0
1989,tt0097499,henry v,ok,16916300,1,19098688.0,"['War', 'Drama', 'History']","['BBC Film', 'Renaissance Films', 'Samuel Goldwyn Company']",gritty adaption of william shakespeares play about the english kings bloody conquest of france,0.0,0.0
1989,tt0097576,indiana jones and the last crusade,nowomen,90220264,0,370601926.0,"['Adventure', 'Action']","['Paramount', 'Lucasfilm Ltd.']",in 1938 an art collector appeals to eminent archaeologist dr indiana jones to embark on a search for the holy grail indy learns that a medieval historian has vanished while searching for it and the missing man is his own father dr henry jones sr he sets out to rescue his father by following clues in the old mans notebook which his father had mailed to him before he went missing indy arrives in venice where he enlists the help of a beautiful academic dr elsa schneider along with marcus brody and sallah together they must stop the nazis from recovering the power of eternal life and taking over the world,0.0,0.0
1989,tt0097742,licence to kill,men,78942731,0,65159735.0,"['Adventure', 'Action', 'Thriller']","['Eon Productions', 'United Artists', 'Danjaq']",after capturing the notorious drug lord franz sanchez bonds close friend and former cia agent felix leiter is left for dead and his wife is murdered bond goes rogue and seeks vengeance on those responsible as he infiltrates sanchezs organization from the inside,0.0,0.0
1989,tt0097815,major league,notalk,20675477,0,93590469.0,['Comedy'],"['Mirage Enterprises', 'Morgan Creek Productions']",when rachel phelps inherits the cleveland indians from her deceased husband shes determined to move the team to a warmer climate—but only a losing season will make that possible which should be easy given the misfits shes hired rachel is sure her dream will come true but she underestimates their will to succeed,0.0,0.0
1989,tt0098206,road house,notalk,18795888,0,56481697.0,"['Action', 'Thriller']","['United Artists', 'Star Partners II Ltd.', 'Silver Pictures']",the double deuce is the meanest loudest and rowdiest bar south of the masondixon line and dalton has been hired to clean it up he might not look like much but the phdeducated bouncer proves hes more than capable  busting the heads of troublemakers and turning the roadhouse into a jumping hotspot but daltons romance with the gorgeous dr clay puts him on the bad side of cutthroat local big shot brad wesley,0.0,0.0
1989,tt0098724,sex lies and videotape,men,2255507,0,46504161.0,['Drama'],"['Miramax', 'Outlaw Productions', 'Virgin']",a sexually repressed womans husband is having an affair with her sister the arrival of a visitor with a rather unusual fetish changes everything,0.0,0.0
1989,tt0098382,star trek v the final frontier,notalk,56387665,0,98133425.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Paramount'],the crew of the federation starship enterprise is called to nimbus iii the planet of intergalactic peace they are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of spock this man is possessed by his life long search for the planet sha ka ree which is supposed to be the source of all life together they begin to search for this mysterious planet,0.0,0.0
1989,tt0096754,the abyss,ok,131571219,1,101954772.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Lightstorm Entertainment', 'Pacific Western', '20th Century Fox']",a civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks one diver soon finds himself on a spectacular odyssey 25000 feet below the oceans surface where he confronts a mysterious force that has the power to change the world or destroy it,0.5,0.0
1989,tt0098519,troop beverly hills,ok,33832599,1,13515193.0,"['Family', 'Adventure', 'Comedy']","['Weintraub Entertainment Group', 'Columbia Pictures']",a beverly hills housewife in the middle of a divorce tries to find focus in her life by taking over her daughters wilderness girls troop,0.0,0.0
1989,tt0098546,uhf,notalk,9397944,0,11572924.0,['Comedy'],"['Cinecorp', 'Orion Pictures', 'Metro-Goldwyn-Mayer', 'Imaginary Entertainment']",the eccentric new manager of a uhf television channel tries to save the station from financial ruin with an odd array of programming,0.0,0.0
1988,tt0094612,action jackson,notalk,13787529,0,39899139.0,"['Action', 'Comedy']","['Silver Pictures', 'Lorimar Film Entertainment']",vengeance drives a tough detroit cop to stay on the trail of a power hungry auto magnate whos systematically eliminating his competition,0.0,0.0
1988,tt0094625,akira,notalk,15757176,0,38576.0,"['Animation', 'Science Fiction', 'Action']","['MBS', 'Sumitomo Corporation', 'TOHO', 'Studio Fuga', 'Studio Aoi', 'Kodansha', 'Bandai Entertainment', 'Tokyo Movie Shinsha']",a secret military project endangers neotokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop,0.0,0.0
1988,tt0094721,beetle juice,ok,29544705,1,144427648.0,"['Fantasy', 'Comedy']","['Geffen Pictures', 'Warner Bros. Pictures']",after an untimely death a newly dead new england couple seek help from a deranged demon exorcist to scare an affluent new york family out of their home,0.0,0.0
1988,tt0092675,bloodsport,notalk,2954471,0,23253887.0,"['Action', 'Drama']",['Cannon Group'],us soldier frank dux has come to hong kong to be accepted into the kumite a highly secret and extremely violent martial arts competition while trying to gain access into the underground world of clandestine fighters he also has to avoid military officers who consider him to be awol after enduring a difficult training and beginning a romance with journalist janice kent frank is given the opportunity to fight but can he survive,0.0,0.0
